iteration,loss
0,Variable containing:
 0.8655
[torch.FloatTensor of size 1]

10000,0.8173479819297791
20000,0.7054059934616089
30000,0.693149893283844
40000,0.6931488066911697
50000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

60000,0.6931480282545089
70000,0.6931473600864411
80000,0.6931482261419296
90000,0.6931479978561401
100000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

110000,0.6931472295522689
120000,0.6931476801633835
130000,0.6931474888324738
140000,0.693147577047348
150000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

160000,0.6931471472978592
170000,0.6931473982334136
180000,0.6931475341320038
190000,0.6931472939252853
200000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

210000,0.6931474590301514
220000,0.6931470322608948
230000,0.6931471890211105
240000,0.6931469064950943
250000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

260000,0.6931472426652908
270000,0.6931466567516327
280000,0.6931469810009002
290000,0.6931466603279114
300000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

310000,0.6931468236446381
320000,0.6931467425823211
330000,0.6931467568874359
340000,0.6931467461585998
350000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

360000,0.6931466656923294
370000,0.693146635890007
380000,0.6931465864181519
390000,0.6931465989351273
400000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

